=================================================
Flow Counts S1/S2/S3 \(deduct 2\):
162
167
237
S1 Flows ----------->
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=279.218s, table=0, n_packets=541, n_bytes=65523, priority=0 actions=CONTROLLER:65535
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=26:17:ec:a9:f6:72,arp_op=1 actions=output:3
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=26:17:ec:a9:f6:72,arp_op=2 actions=output:3
 cookie=0x539, duration=14.426s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=2a:cf:9f:19:7f:9d,arp_op=1 actions=output:3
 cookie=0x539, duration=13.575s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=2a:cf:9f:19:7f:9d,arp_op=2 actions=output:3
 cookie=0x539, duration=14.415s, table=0, n_packets=2, n_bytes=84, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=8a:83:f7:69:42:ba,arp_op=1 actions=output:3
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=8a:83:f7:69:42:ba,arp_op=2 actions=output:3
 cookie=0x539, duration=14.415s, table=0, n_packets=2, n_bytes=84, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=9e:ae:9c:9b:63:f9,arp_op=1 actions=output:3
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=9e:ae:9c:9b:63:f9,arp_op=2 actions=output:3
 cookie=0x539, duration=14.425s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=ba:17:e8:7c:48:7b,arp_op=1 actions=output:3
 cookie=0x539, duration=13.574s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=ba:17:e8:7c:48:7b,arp_op=2 actions=output:3
 cookie=0x539, duration=14.418s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.911s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:6f:69:44:6d:1d,arp_op=1 actions=output:3
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:6f:69:44:6d:1d,arp_op=2 actions=output:3
 cookie=0x539, duration=14.911s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=11,dl_src=ca:24:75:3e:6f:5f,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.398s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=26:17:ec:a9:f6:72,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=26:17:ec:a9:f6:72,arp_op=2 actions=output:3
 cookie=0x539, duration=14.407s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=2a:cf:9f:19:7f:9d,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=2a:cf:9f:19:7f:9d,arp_op=2 actions=output:3
 cookie=0x539, duration=14.378s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=8a:83:f7:69:42:ba,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=8a:83:f7:69:42:ba,arp_op=2 actions=output:3
 cookie=0x539, duration=14.391s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=9e:ae:9c:9b:63:f9,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=9e:ae:9c:9b:63:f9,arp_op=2 actions=output:3
 cookie=0x539, duration=14.404s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=ba:17:e8:7c:48:7b,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=ba:17:e8:7c:48:7b,arp_op=2 actions=output:3
 cookie=0x539, duration=14.915s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=14.423s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=da:6f:69:44:6d:1d,arp_op=1 actions=output:3
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=da:6f:69:44:6d:1d,arp_op=2 actions=output:3
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=da:f8:6b:aa:bb:ac,arp_op=1 actions=output:13
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=12,dl_src=be:e7:00:4e:4d:fb,dl_dst=da:f8:6b:aa:bb:ac,arp_op=2 actions=output:13
 cookie=0x539, duration=14.358s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=26:17:ec:a9:f6:72,arp_op=1 actions=output:3
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=26:17:ec:a9:f6:72,arp_op=2 actions=output:3
 cookie=0x539, duration=14.363s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=2a:cf:9f:19:7f:9d,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=2a:cf:9f:19:7f:9d,arp_op=2 actions=output:3
 cookie=0x539, duration=14.353s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=8a:83:f7:69:42:ba,arp_op=1 actions=output:3
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=8a:83:f7:69:42:ba,arp_op=2 actions=output:3
 cookie=0x539, duration=14.354s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=9e:ae:9c:9b:63:f9,arp_op=1 actions=output:3
 cookie=0x539, duration=13.566s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=9e:ae:9c:9b:63:f9,arp_op=2 actions=output:3
 cookie=0x539, duration=14.361s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=ba:17:e8:7c:48:7b,arp_op=1 actions=output:3
 cookie=0x539, duration=13.570s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=ba:17:e8:7c:48:7b,arp_op=2 actions=output:3
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=be:e7:00:4e:4d:fb,arp_op=1 actions=output:12
 cookie=0x539, duration=13.573s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=be:e7:00:4e:4d:fb,arp_op=2 actions=output:12
 cookie=0x539, duration=14.913s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=ca:24:75:3e:6f:5f,arp_op=1 actions=output:11
 cookie=0x539, duration=14.415s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=ca:24:75:3e:6f:5f,arp_op=2 actions=output:11
 cookie=0x539, duration=14.365s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=da:6f:69:44:6d:1d,arp_op=1 actions=output:3
 cookie=0x539, duration=13.572s, table=0, n_packets=1, n_bytes=42, priority=10,arp,in_port=13,dl_src=da:f8:6b:aa:bb:ac,dl_dst=da:6f:69:44:6d:1d,arp_op=2 actions=output:3
